,mood,song,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,valence,tempo
3071,fitness,0dQQQRxfaTjjDdpno92mTT,0.725,0.767,11,-7.472,0,0.0501,0.114,5.29e-06,0.447,124.103
3072,fitness,57QXXEBy5apjgxsyXSb8YE,0.75,0.651,1,-4.655,1,0.121,0.00759,0,0.928,120.055
3073,fitness,463CkQjx2Zk1yXoBuierM9,0.702,0.825,6,-3.787,0,0.0601,0.00883,0,0.915,102.977
3074,fitness,3rgTS3933lMWoPiN6CW4qY,0.744,0.866,9,-4.834,1,0.106,0.0107,0.0537,0.302,128.027
3075,fitness,5ZSIKIjJtKnqT9lJcP6BvM,0.77,0.673,1,-5.466,1,0.0535,0.0273,0,0.569,122.016
3076,fitness,2I2p8AiM6E8tpbNqSgfWqy,0.627,0.69,10,-5.396,0,0.139,0.033,0,0.627,122.053
3077,fitness,24aN8j7dBw0FxxKUBlCtd6,0.654,0.795,0,-4.419,1,0.0536,0.178,0,0.465,120.019
3078,fitness,61ZM92T2zaXIVsqncThQzC,0.57,0.672,8,-5.888,0,0.0716,0.172,1.04e-06,0.461,120.018
3079,fitness,6y1UtRcHQU07aUs3oxZ8Yn,0.744,0.79,8,-4.617,0,0.0562,0.0547,0.000802,0.847,125.002
3080,fitness,4c7ugL9u55EIb0Sb80Ggtg,0.545,0.732,4,-6.701,0,0.0424,0.0579,6.59e-05,0.36,123.825
3081,fitness,225MThXJyRa2la7JtJGB4Q,0.845,0.562,6,-8.125,0,0.039,0.256,0.00515,0.66,122.013
3082,fitness,1vKNZeZt7griiRBDE1Eqqk,0.81,0.884,5,-4.583,0,0.0981,0.101,0,0.446,122.994
3083,fitness,02DNkQ4t0vN33U6YuTQYFx,0.718,0.866,1,-5.55,0,0.0403,0.0048,5.64e-05,0.646,126.001
3084,fitness,4YhN72dRYL2Z3MsaKyT7rS,0.669,0.797,9,-5.68,0,0.0624,0.259,0,0.552,119.865
3085,fitness,1HagMz5nWk1HmevNCBOxF3,0.671,0.834,1,-3.928,0,0.0885,0.0387,0,0.454,113.021
3086,fitness,16Cs9KsHzgunxaEfGrXysG,0.723,0.87,8,-3.013,0,0.0435,0.035,0,0.678,129.952
3087,fitness,1NAeorrSNCibpdJMpXLFeG,0.691,0.768,6,-4.247,0,0.0924,0.144,0,0.526,110.977
3088,fitness,2tQB3yQenRXZ0M8DR0Lp4Z,0.681,0.774,1,-3.167,0,0.0787,0.0992,0,0.267,102.924
3089,fitness,6zcrTrD7JY8gTQKeMyHafc,0.721,0.796,6,-4.516,1,0.0764,0.00434,0.00113,0.223,120.056
3090,fitness,265zv3IDBskSIkvgPOSiGQ,0.534,0.613,8,-7.41,0,0.0591,0.234,0,0.528,144.878
3091,fitness,3850dYVgOFIXJh5U4BFEWH,0.649,0.647,9,-7.695,0,0.0452,0.0039,0.161,0.405,125.02
3092,fitness,3I9gIF7c1VwAdvjTsvLgod,0.668,0.933,10,-4.64,0,0.0416,0.0353,0.169,0.915,119.97
3093,fitness,4eB54t0RNCDdTwN6o3mlfk,0.672,0.759,6,-6.92,0,0.0394,0.0947,0,0.624,125.989
